,State,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20
1,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,7,3,1,4,5,5,1,7,9,0,10,2,1,0,12,2,7,14,14,2,0,29,33,20,14,4,6,9,13,21,8,18,0,2,8,17,27,27,13,7,3,10,37,10,22,12,0,3,1,14,22,7,12,10,7,8,14,3,22,5,8,11,14,7,0,1,19,14,3,25,11,16,11,14,4,0,6,11,5,19,12,17,1,1,24,25,6,11,12,0,11,19,24,13,21,1,0
3,AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,2,2,0,1,2,2,2,0,3,3,1,2,0,5,1,3,0,1,1,3,0,2,1,2,1,3,1,6,2,2,3,8,3,5,3,4,1,0,0,3,3,1,2,1,0,0,0,2,2,5,3,3,2,1,1,2,1,5,7,1,0,0,3,5,9,1,2,0,2,6,4,6,5,1,2,3,6,9,11,6,10,1,2,10,3,0,9,10,5,1,5,7,2,2,5,1
4,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,3,0,2,3,1,7,3,8,7,12,10,0,9,9,6,10,9,10,7,8,11,8,19,8,8,3,21,20,21,17,7,2,0,17,11,16,10,18,14,0,17,47,24,66,15,4,6,20,32,30,27,28,1,6,18,43,14,12,25,1,5,2,23,24,29,17,14,0,25,39,15,15,31,10,0,24,25,29,15,39,6,8,26,20,34,40,26,2,3,53,68,21,51,44,9,0,44,88,0,68,17,4
5,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,2,5,3,3,2,5,3,6,7,12,15,16,17,21,11,17,33,30,31,38,39,29,37,59,57,41,50,36,45,49,53,100,92,40,136,30,47,93,113,97,84,79,23,63,89,76,90,97,57,23,74,94,83,81,87,62,27,61,100,92,80,108,51,32,44,122,89,102,70,68,16,15,57,89,81,81,67,30,0,144,69,68,83,69,28,25,92,105,74,56,71,27,33,82,81,74,66,68,21,58,57,101,81,61,33,32,46,105,79,223,-71,18,6
6,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,1,0,0,12,5,6,13,3,7,15,11,17,14,15,13,11,29,13,34,23,25,16,0,38,27,17,17,20,11,27,37,22,44,109,10,8,25,31,30,11,43,12,10,9,49,20,23,15,8,4,17,23,53,31,59,42,22,10,33,41,10,13,5,4,3,19,41,29,14,7,2,12,16,20,17,11,4,0,16,11,20,11,12,3,1,5,13,14,6,6,4,0,4,12,2,1,8,1,0,8,8,7,0,4,0,0
7,CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,3,2,2,7,2,6,6,1,2,31,16,27,22,32,24,18,68,59,45,66,45,61,48,69,199,103,65,49,40,204,92,116,96,128,99,65,87,75,80,88,84,98,58,60,78,85,78,77,58,35,41,33,82,96,66,54,70,40,23,57,53,56,37,21,49,25,33,26,42,44,30,0,30,17,18,31,17,16,13,10,24,28,13,27,14,3,6,10,7,12,13,9,3,14,10,11,9,4,5,2,2,4,2,9,0,0
8,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,4,0,2,1,3,6,0,1,0,0,0,0,0,0,0,0,45,5,9,5,5,5,9,7,15,12,14,12,13,7,5,15,19,7,9,11,7,6,0,21,19,7,12,5,8,14,8,10,7,8,9,8,7,5,6,9,5,8,0,5,8,7,2,4,2,2,3,2,4,4,6,2,4,4,3,4,5,4,0,5,3,4,3,1,2,2,2,4,2,3,2,2,1,0,2,1,1,2,2
9,DE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,3,1,1,2,0,0,1,1,3,4,9,1,2,0,8,3,6,9,6,0,5,10,7,3,8,12,8,5,12,7,8,7,9,9,5,5,6,9,0,0,0,21,13,10,13,11,15,4,7,7,6,7,5,2,2,6,4,9,1,11,5,5,2,5,2,10,3,2,8,0,12,3,1,0,5,3,1,1,2,5,2,1,1,0,68,1,2,0,0,0,0,1,1,2,0,2,0
10,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,5,4,2,4,7,16,10,3,12,14,12,47,26,25,26,33,42,27,47,49,27,15,0,110,43,54,58,24,24,49,44,60,60,58,9,20,14,83,47,49,47,50,15,20,69,67,61,71,46,6,16,44,48,48,42,46,10,23,55,43,50,45,43,4,15,6,60,45,49,35,4,9,70,35,43,53,28,12,11,54,35,47,30,48,6,7,55,25,43,43,40,17,11,64,45,46,39,24,28,28,57,47,67,67,18,29
11,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,5,5,1,12,1,0,30,12,4,22,22,29,18,22,10,11,73,49,24,39,15,12,10,0,78,52,39,53,8,14,77,47,28,33,20,7,11,72,41,58,37,33,7,6,58,50,36,23,42,2,2,50,37,22,32,38,10,9,40,35,21,79,31,16,5,23,48,38,30,32,1,40,39,26,23,24,8,11,2,91,15,59,45,32,20,5,53,32,44,20,34,1,0,15,41,27,34,21,2,1,16,11,25,19,4,3,1
12,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
13,IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,1,2,2,0,0,6,8,1,1,0,4,3,7,0,2,10,7,4,10,1,4,4,7,6,11,5,6,9,9,12,14,8,5,8,4,19,12,12,12,9,13,6,18,18,12,18,10,5,4,11,15,19,18,26,5,7,7,22,15,20,7,5,5,22,6,13,10,10,4,5,15,7,9,4,7,1,3,8,10,5,4,1,4,1,2,2,3,8,2,0,4,6,4,0,3,1,0
