"","State","party"
"1","AK","Republican"
"2","AL","Republican"
"3","AR","Republican"
"4","AZ","Republican"
"5","CA","Democratic"
"6","CO","Democratic"
"7","CT","Democratic"
"8","DC","Democratic"
"9","DE","Democratic"
"10","FL","Republican"
"11","GA","Republican"
"12","HI","Democratic"
"13","IA","Republican"
"14","ID","Republican"
"15","IL","Democratic"
"16","IN","Republican"
"17","KS","Republican"
"18","KY","Republican"
"19","LA","Republican"
"20","MA","Democratic"
"21","MD","Democratic"
"22","ME","Democratic"
"23","MI","Republican"
"24","MN","Republican"
"25","MO","Republican"
"26","MS","Republican"
"27","MT","Republican"
"28","NC","Republican"
"29","ND","Republican"
"30","NE","Republican"
"31","NH","Democratic"
"32","NJ","Democratic"
"33","NM","Democratic"
"34","NV","Democratic"
"35","NY","Democratic"
"36","OH","Republican"
"37","OK","Republican"
"38","OR","Democratic"
"39","PA","Republican"
"40","RI","Democratic"
"41","SC","Republican"
"42","SD","Republican"
"43","TN","Republican"
"44","TX","Republican"
"45","UT","Republican"
"46","VA","Democratic"
"47","VT","Democratic"
"48","WA","Democratic"
"49","WI","Republican"
"50","WV","Republican"
"51","WY","Republican"
