State,date,status,days
AK,22-May,closed,31
AL,30-Apr,open,9
AR,30-Apr,open,9
AZ,8-May,open,17
CA,25-May,closed,34
CO,27-May,closed,36
CT,1-Jun,closed,41
DC,31-May,closed,40
DE,29-May,closed,38
FL,4-May,open,13
GA,24-Apr,open,3
HI,7-May,open,16
IA,1-May,open,10
ID,4-May,open,13
IL,29-May,closed,38
IN,4-May,open,13
KS,1-May,open,10
KY,25-May,closed,34
LA,15-May,closed,24
MA,25-May,closed,34
MD,29-May,closed,38
ME,31-May,closed,40
MI,28-May,closed,37
MN,18-May,closed,27
MO,3-May,open,12
MS,1-Jun,closed,41
MT,4-May,open,13
NC,8-May,open,17
ND,1-May,open,10
NE,1-Jun,closed,41
NH,11-May,open,20
NJ,19-May,closed,28
NM,31-May,closed,40
NV,9-May,open,18
NY,15-May,closed,24
OH,29-May,closed,38
OK,24-Apr,open,3
OR,6-Jul,closed,76
PA,4-Jun,closed,44
RI,30-May,closed,39
SC,21-Apr,open,0
SD,na,open,0
TN,30-May,closed,39
TX,1-May,open,10
UT,1-May,open,10
VA,10-Jun,closed,50
VT,6-May,open,15
WA,31-May,closed,40
WI,26-May,closed,35
WV,4-May,open,13
WY,31-May,closed,40
