,year,roll_number,congress,session,chamber,bill,vote_question,vote_type,date,last_name,party,state,role,vote,majority,vote_result
party,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Ackerman,D,NY,legislator,Present,D,Passed
party1,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Akaka,D,HI,legislator,Present,D,Passed
party2,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Alexander,D,AR,legislator,Present,D,Passed
party3,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Anderson,D,CA,legislator,Present,D,Passed
party4,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Andrews (TX),D,TX,legislator,Present,D,Passed
party5,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Annunzio,D,IL,legislator,Present,D,Passed
party6,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Anthony,D,AR,legislator,Present,D,Passed
party7,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Applegate,D,OH,legislator,Present,D,Passed
party8,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Archer,R,TX,legislator,Not Voting,D,Passed
party9,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Armey,R,TX,legislator,Present,D,Passed
party10,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Aspin,D,WI,legislator,Present,D,Passed
party11,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Atkins,D,MA,legislator,Present,D,Passed
party12,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,AuCoin,D,OR,legislator,Not Voting,D,Passed
party13,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Baker (LA),R,LA,legislator,Present,D,Passed
party14,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Ballenger,R,NC,legislator,Present,D,Passed
party15,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Barnard,D,GA,legislator,Present,D,Passed
party16,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Bartlett,R,TX,legislator,Not Voting,D,Passed
party17,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Barton,R,TX,legislator,Present,D,Passed
party18,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Bateman,R,VA,legislator,Present,D,Passed
party19,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Bates,D,CA,legislator,Present,D,Passed
party20,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Beilenson,D,CA,legislator,Present,D,Passed
party21,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Bennett,D,FL,legislator,Present,D,Passed
party22,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Bentley,R,MD,legislator,Present,D,Passed
party23,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Bereuter,R,NE,legislator,Present,D,Passed
party24,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Berman,D,CA,legislator,Not Voting,D,Passed
party25,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Bevill,D,AL,legislator,Present,D,Passed
party26,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Bilbray,D,NV,legislator,Present,D,Passed
party27,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Bilirakis,R,FL,legislator,Not Voting,D,Passed
party28,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Bliley,R,VA,legislator,Present,D,Passed
party29,1990,1,101,2nd,1,QUORUM 1,Call of the House,QUORUM,1/23/1990,Boehlert,R,NY,legislator,Present,D,Passed
