"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",2009,5,"111","1st",1,"H R 35","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2009-01-07,"Abercrombie","D","HI","legislator","Yea","D","Passed"
"party1",2009,5,"111","1st",1,"H R 35","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2009-01-07,"Ackerman","D","NY","legislator","Yea","D","Passed"
"party2",2009,5,"111","1st",1,"H R 35","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2009-01-07,"Aderholt","R","AL","legislator","Nay","D","Passed"
"party3",2009,5,"111","1st",1,"H R 35","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2009-01-07,"Adler (NJ)","D","NJ","legislator","Yea","D","Passed"
"party4",2009,5,"111","1st",1,"H R 35","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2009-01-07,"Akin","R","MO","legislator","Nay","D","Passed"
"party5",2009,5,"111","1st",1,"H R 35","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2009-01-07,"Alexander","R","LA","legislator","Yea","D","Passed"
"party6",2009,5,"111","1st",1,"H R 35","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2009-01-07,"Altmire","D","PA","legislator","Yea","D","Passed"
"party7",2009,5,"111","1st",1,"H R 35","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2009-01-07,"Andrews","D","NJ","legislator","Yea","D","Passed"
"party8",2009,5,"111","1st",1,"H R 35","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2009-01-07,"Arcuri","D","NY","legislator","Yea","D","Passed"
"party9",2009,5,"111","1st",1,"H R 35","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2009-01-07,"Austria","R","OH","legislator","Yea","D","Passed"
"party10",2009,5,"111","1st",1,"H R 35","On Motion to Suspend the Rules and Pass","2/3 YEA-AND-NAY",2009-01-07,"Baca","D","CA","legislator","Yea","D","Passed"
