"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Abercrombie","D","HI","legislator","Yea","D","Passed"
"party1",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Ackerman","D","NY","legislator","Yea","D","Passed"
"party2",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Allard","R","CO","legislator","Not Voting","D","Passed"
"party3",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Andrews (ME)","D","ME","legislator","Yea","D","Passed"
"party4",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Andrews","D","NJ","legislator","Not Voting","D","Passed"
"party5",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Andrews (TX)","D","TX","legislator","Yea","D","Passed"
"party6",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Applegate","D","OH","legislator","Yea","D","Passed"
"party7",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Archer","R","TX","legislator","Yea","D","Passed"
"party8",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Armey","R","TX","legislator","Nay","D","Passed"
"party9",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Bacchus (FL)","D","FL","legislator","Yea","D","Passed"
"party10",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Bachus","R","AL","legislator","Nay","D","Passed"
"party11",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Baesler","D","KY","legislator","Yea","D","Passed"
"party12",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Baker (CA)","R","CA","legislator","Nay","D","Passed"
"party13",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Baker (LA)","R","LA","legislator","Nay","D","Passed"
"party14",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Ballenger","R","NC","legislator","Nay","D","Passed"
"party15",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Barcia","D","MI","legislator","Yea","D","Passed"
"party16",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Barlow","D","KY","legislator","Yea","D","Passed"
"party17",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Barrett (NE)","R","NE","legislator","Nay","D","Passed"
"party18",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Barrett (WI)","D","WI","legislator","Yea","D","Passed"
"party19",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Bartlett","R","MD","legislator","Nay","D","Passed"
"party20",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Barton","R","TX","legislator","Not Voting","D","Passed"
"party21",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Bateman","R","VA","legislator","Not Voting","D","Passed"
"party22",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Becerra","D","CA","legislator","Yea","D","Passed"
"party23",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Beilenson","D","CA","legislator","Yea","D","Passed"
"party24",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Bentley","R","MD","legislator","Nay","D","Passed"
"party25",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Bereuter","R","NE","legislator","Nay","D","Passed"
"party26",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Berman","D","CA","legislator","Yea","D","Passed"
"party27",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Bevill","D","AL","legislator","Yea","D","Passed"
"party28",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Bilbray","D","NV","legislator","Yea","D","Passed"
"party29",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Bilirakis","R","FL","legislator","Not Voting","D","Passed"
"party30",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Bishop","D","GA","legislator","Yea","D","Passed"
"party31",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Blackwell","D","PA","legislator","Yea","D","Passed"
"party32",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Bliley","R","VA","legislator","Nay","D","Passed"
"party33",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Blute","R","MA","legislator","Nay","D","Passed"
